Datetime;Ozone
2015-09-11 13:19:35;296
2015-09-11 13:23:53;296
2015-09-11 13:28:54;297
2015-09-11 13:33:54;296
2015-09-11 13:38:56;297
2015-09-11 13:43:53;296
2015-09-11 13:48:54;295
2015-09-11 13:53:53;294
2015-09-11 13:58:53;295
2015-09-11 14:03:54;295
2015-09-11 14:08:54;296
2015-09-11 14:13:53;297
2015-09-11 14:18:53;298
2015-09-11 14:23:53;299
2015-09-11 14:28:54;303
2015-09-11 14:33:54;306
2015-09-11 14:38:54;313
2015-09-11 14:43:54;311
2015-09-11 14:48:54;309
2015-09-11 14:53:55;307
2015-09-11 14:58:56;306
2015-09-11 15:03:56;307
2015-09-11 15:08:56;308
2015-09-11 15:13:58;309
2015-09-11 15:18:58;311
2015-09-11 15:24:22;312
2015-09-11 15:29:23;317
2015-09-11 15:34:13;317
2015-09-11 15:39:12;316
2015-09-11 15:44:13;317
2015-09-12 04:03:55;307
2015-09-12 04:07:59;312
2015-09-12 04:13:13;317
2015-09-12 04:18:12;312
2015-09-12 04:23:12;310
2015-09-12 04:28:12;308
2015-09-12 04:32:58;305
2015-09-12 04:37:58;304
2015-09-12 04:42:58;305
2015-09-12 04:47:57;304
2015-09-12 04:52:57;304
2015-09-12 04:57:58;307
2015-09-12 05:02:57;306
2015-09-12 05:07:55;308
2015-09-12 05:12:54;310
2015-09-12 05:17:54;301
2015-09-12 05:22:54;298
2015-09-12 05:27:54;294
2015-09-12 05:32:54;292
2015-09-12 05:37:53;291
2015-09-12 05:42:53;290
2015-09-12 05:47:54;289
2015-09-12 05:52:53;288
2015-09-12 05:57:53;288
2015-09-12 06:02:54;288
2015-09-12 06:07:54;288
2015-09-12 06:12:53;288
2015-09-12 06:17:53;287
2015-09-12 06:22:54;287
2015-09-12 06:27:54;288
2015-09-12 06:32:53;289
2015-09-12 06:37:53;289
2015-09-12 06:42:54;290
2015-09-12 06:47:53;289
2015-09-12 06:52:53;289
2015-09-12 06:57:54;288
2015-09-12 07:02:54;291
2015-09-12 07:07:53;291
2015-09-12 07:12:53;291
2015-09-12 07:17:54;291
2015-09-12 07:22:51;293
2015-09-12 07:27:51;294
2015-09-12 07:32:52;294
2015-09-12 07:37:51;293
2015-09-12 07:42:51;293
2015-09-12 07:47:52;293
2015-09-12 07:52:51;293
2015-09-12 07:57:51;293
2015-09-12 08:02:50;294
2015-09-12 08:07:51;293
2015-09-12 08:12:50;293
2015-09-12 08:17:51;293
2015-09-12 08:22:50;292
2015-09-12 08:27:50;290
2015-09-12 08:32:51;291
2015-09-12 08:37:50;290
2015-09-12 08:42:50;291
2015-09-12 08:47:50;290
2015-09-12 08:52:50;290
2015-09-12 08:57:51;289
2015-09-12 09:02:50;290
2015-09-12 09:07:50;290
2015-09-12 09:12:51;289
2015-09-12 09:17:50;290
2015-09-12 09:22:51;288
2015-09-12 09:27:50;288
2015-09-12 09:32:50;288
2015-09-12 09:37:43;290
2015-09-12 09:42:50;287
2015-09-12 09:47:50;287
2015-09-12 09:52:51;287
2015-09-12 09:57:50;287
2015-09-12 10:02:51;287
2015-09-12 10:07:50;287
2015-09-12 10:12:50;287
2015-09-12 10:17:51;287
2015-09-12 10:22:50;288
2015-09-12 10:27:51;287
2015-09-12 10:32:50;288
2015-09-12 10:37:50;288
2015-09-12 10:42:51;288
2015-09-12 10:47:42;289
2015-09-12 10:52:51;288
2015-09-12 10:57:50;288
2015-09-12 11:02:50;288
2015-09-12 11:07:51;288
2015-09-12 11:12:50;289
2015-09-12 11:17:50;289
2015-09-12 11:22:50;289
2015-09-12 11:27:51;290
2015-09-12 11:32:50;290
2015-09-12 11:37:50;290
2015-09-12 11:42:59;288
2015-09-12 11:47:50;290
2015-09-12 11:52:50;290
2015-09-12 11:57:51;290
2015-09-12 12:02:50;290
2015-09-12 12:07:50;291
2015-09-12 12:12:51;290
2015-09-12 12:17:50;291
2015-09-12 12:22:50;291
2015-09-12 12:27:51;291
2015-09-12 12:32:50;290
2015-09-12 12:37:50;290
2015-09-12 12:42:51;293
2015-09-12 12:47:51;287
2015-09-12 12:52:42;287
2015-09-12 12:57:51;286
2015-09-12 13:02:42;291
2015-09-12 13:07:51;289
2015-09-12 13:12:42;286
2015-09-12 13:17:51;285
2015-09-12 13:22:54;286
2015-09-12 13:27:42;287
2015-09-12 13:32:50;293
2015-09-12 13:37:54;292
2015-09-12 13:42:51;288
2015-09-12 13:47:50;291
2015-09-12 13:52:54;296
2015-09-12 13:57:53;286
2015-09-12 14:02:53;284
2015-09-12 14:07:54;285
2015-09-12 14:12:53;286
2015-09-12 14:17:53;288
2015-09-12 14:22:54;289
2015-09-12 14:27:54;292
2015-09-12 14:32:53;305
2015-09-12 14:37:54;302
2015-09-12 14:42:55;298
